long,lat,id,estacion,linea
-58.398927585360084,-34.635750180343017,1,CASEROS,H
-58.400969556016513,-34.62937565757283,2,INCLAN - MEZQUITA AL AHMAD,H
-58.402322730424039,-34.623092320501911,3,HUMBERTO 1º,H
-58.404731716490012,-34.615242152270582,4,VENEZUELA,H
-58.406036381035179,-34.608935241621559,5,ONCE - 30 DE DICIEMBRE,H
-58.380574342889624,-34.604245202962929,6,9 DE JULIO,D
-58.39792375557338,-34.599757080763894,7,FACULTAD DE MEDICINA,D
-58.385142358801296,-34.601587165139371,8,TRIBUNALES - TEATRO COLÓN,D
-58.407161320189864,-34.591627843719898,9,AGÜERO,D
-58.415955419006671,-34.585155944049355,10,R.SCALABRINI ORTIZ,D
-58.421196010126444,-34.581411193604531,11,PLAZA ITALIA,D
-58.425711441112355,-34.578422022790363,12,PALERMO,D
-58.374018216481623,-34.59119380833323,13,RETIRO,C
-58.378155782824379,-34.601769923011354,14,LAVALLE,C
-58.379529980073897,-34.60484373991406,15,DIAGONAL NORTE,C
-58.380610717957921,-34.608983314882707,16,AV. DE MAYO,C
-58.380444469660063,-34.612617279803743,17,MORENO,C
-58.380173610475246,-34.618125599293307,18,INDEPENDENCIA,C
-58.381434433934338,-34.627619452254763,19,CONSTITUCION,C
-58.375071518263567,-34.603297285577533,20,FLORIDA,B
-58.380714847140901,-34.603637105181747,21,C. PELLEGRINI,B
-58.387296133540808,-34.604093553105699,22,URUGUAY,B
-58.392314235088776,-34.604419542860796,23,CALLAO - MAESTRO ALFREDO BRAVO,B
-58.399474256679035,-34.604642967919304,24,PASTEUR - AMIA,B
-58.405399439843393,-34.604581055351225,25,PUEYRREDON,B
-58.411762599632141,-34.604079517347458,26,CARLOS GARDEL,B
-58.420962470270595,-34.603164901097252,27,ALMAGRO - MEDRANO,B
-58.43127386032458,-34.602162229342746,28,ANGEL GALLARDO,B
-58.439771498415524,-34.598967364158774,29,MALABIA - OSVALDO PUGLIESE,B
-58.447573092531215,-34.591718153619787,30,DORREGO,B
-58.374267726430453,-34.608559073853257,31,PERU,A
-58.379085153090863,-34.608881721214999,32,PIEDRAS,A
-58.382232401018165,-34.609099806551924,33,LIMA,A
-58.386777194087315,-34.609412586502671,34,SAENZ PEÑA,A
-58.39266882466486,-34.609225684317408,35,CONGRESO,A
-58.398426991812322,-34.609645961705255,36,PASCO,A
-58.401207534233016,-34.60983357843984,37,ALBERTI,A
-58.406707116508805,-34.609817245670591,38,PLAZA DE MISERERE,A
-58.415185708837576,-34.610781690450366,39,LORIA,A
-58.421815671370595,-34.61177022912554,40,CASTRO BARROS,A
-58.42950032329972,-34.615205610331188,41,RIO DE JANEIRO,A
-58.436428528849355,-34.618279967144566,42,ACOYTE,A
-58.441177625110903,-34.620405212858905,43,PRIMERA JUNTA,A
-58.373684224168478,-34.609242428860796,44,BOLIVAR,E
-58.377580886540613,-34.612849105818633,45,BELGRANO,E
-58.38153494171226,-34.617937393977158,46,INDEPENDENCIA,E
-58.385148549623764,-34.622339491936735,47,SAN JOSE,E
-58.391511699971517,-34.622719666127779,48,ENTRE RIOS - RODOLFO WALSH,E
-58.39706807466257,-34.623109865779092,49,PICHINCHA,E
-58.402936580256068,-34.623865711583456,50,JUJUY,E
-58.409390783443641,-34.624653786466183,51,URQUIZA,E
-58.433816250239481,-34.628017548774217,52,JOSE MARIA MORENO,E
-58.442170705965253,-34.63104184216548,53,EMILIO MITRE,E
-58.411293901393577,-34.588237108418198,54,BULNES,D
-58.402395342535073,-34.594425718628479,55,PUEYRREDON,D
-58.393125180972731,-34.599639552419013,56,CALLAO,D
-58.37781905098673,-34.595057404779148,57,SAN MARTIN,C
-58.379921178865146,-34.621916732208142,58,SAN JUAN,C
-58.450278256370893,-34.636389189385838,59,MEDALLA MILAGROSA,E
-58.426789022897225,-34.627015467001989,60,AV. LA PLATA,E
-58.41553281896784,-34.625366105892567,61,BOEDO,E
-58.435013533733873,-34.575178364111281,62,MINISTRO CARRANZA,D
-58.444668148334877,-34.570012307825721,63,OLLEROS,D
-58.45212560338895,-34.566215242158904,64,JOSE HERNANDEZ,D
-58.456489134589042,-34.562309086997452,65,JURAMENTO,D
-58.455029286280975,-34.5871978529904,66,FEDERICO LACROZE,B
-58.461651761689822,-34.643312162409806,67,PLAZA DE LOS VIRREYES - EVA PERON,E
-58.457891755773147,-34.640137352298026,68,VARELA,E
-58.37395580695113,-34.607802336428939,69,CATEDRAL,D
-58.370968498967372,-34.608810309168895,70,PLAZA DE MAYO,A
-58.462378408224325,-34.555641766426099,71,CONGRESO DE TUCUMAN,D
-58.369929850122453,-34.602989496633249,72,LEANDRO N. ALEM,B
-58.46622720469216,-34.58409462011609,73,TRONADOR - VILLA ORTÚZAR,B
-58.474240826177144,-34.581248845957909,74,DE LOS INCAS -PQUE. CHAS,B
-58.456709797523786,-34.62666659318031,75,CARABOBO,A
-58.448647654026374,-34.623528952889359,76,PUAN,A
-58.405450328484243,-34.604490201608137,77,CORRIENTES,H
-58.405794825968563,-34.638405988285108,78,PARQUE PATRICIOS,H
-58.412385151200496,-34.641268943390884,79,HOSPITALES,H
-58.481013503672067,-34.577797377542268,80,ECHEVERRÍA,B
-58.486385347889126,-34.574318914274848,81,JUAN MANUEL DE ROSAS - VILLA URQUIZA,B
-58.469639629224694,-34.630707087006002,83,SAN PEDRITO,A
-58.463540510628654,-34.62908722679704,82,SAN JOSÉ DE FLORES,A
-58.403721496438749,-34.598455111773418,84,CÓRDOBA,H
-58.397215575101868,-34.587461546426169,85,LAS HERAS,H
-58.402376175034959,-34.594525396218771,86,SANTA FE - CARLOS JAUREGUI,H
-58.391018826560042,-34.583036340009301,87,FACULTAD DE DERECHO - JULIETA LANTERI,H
